idno,gender,cong,art_count
29909,M,109,9
29909,M,110,14
29909,M,111,50
49700,M,105,12
49700,M,106,21
49700,M,107,33
49700,M,108,20
49700,M,109,64
49700,M,110,62
49700,M,111,197
49700,M,112,70
20730,M,112,89
49300,F,103,172
49300,F,104,104
49300,F,105,124
49300,F,106,123
49300,F,107,142
49300,F,108,158
49300,F,109,173
49300,F,110,194
49300,F,111,261
49300,F,112,232
1366,M,102,72
1366,M,103,107
1366,M,104,75
1366,M,105,69
1366,M,106,117
1366,M,107,165
1366,M,108,104
1366,M,109,99
1366,M,110,114
1366,M,111,243
29918,M,112,66
29918,M,109,29
29918,M,110,71
29918,M,111,121
49306,F,103,102
49306,F,104,48
49306,F,105,38
49306,F,106,58
49306,F,107,56
49306,F,108,46
49306,F,109,59
49306,F,110,69
49306,F,111,106
49306,F,112,146
29306,M,105,25
29306,M,106,46
29306,M,107,55
11044,M,104,45
11044,M,105,102
11044,M,106,128
11044,M,102,23
11044,M,103,25
14508,M,104,343
14508,M,105,357
14508,M,106,465
14508,M,102,273
14508,M,103,605
15425,M,105,31
15425,M,106,28
15425,M,107,76
15425,M,108,46
15425,M,109,66
15425,M,110,77
15425,M,111,39
15425,M,112,76
40705,M,112,110
40705,M,110,55
40705,M,111,184
15501,M,102,23
15501,M,103,34
15501,M,104,43
15501,M,105,40
15501,M,106,20
15501,M,107,90
15501,M,108,48
15501,M,109,47
15501,M,110,59
15501,M,111,274
40104,M,107,239
40104,M,108,261
40104,M,109,866
4812,M,102,61
4812,M,103,40
4812,M,104,9
4812,M,105,20
4812,M,106,18
4812,M,107,32
4812,M,108,16
4812,M,109,30
4812,M,110,39
4812,M,111,49
4812,M,112,86
14871,M,104,50
14871,M,105,46
14871,M,106,62
14871,M,107,56
14871,M,108,100
14871,M,109,70
14871,M,110,68
14871,M,111,135
14871,M,112,105
14617,M,102,8
14617,M,103,16
14617,M,104,23
14617,M,105,38
14617,M,106,19
14617,M,107,9
14617,M,108,1
14268,,104,95
14268,,102,14
14268,,103,33
49706,M,105,4
49706,M,106,6
49706,M,107,16
49706,M,108,9
49706,M,109,36
49706,M,110,34
49706,M,111,99
49706,M,112,7
40301,M,112,10
40301,M,108,10
40301,M,109,29
40301,M,110,29
40301,M,111,40
10818,M,104,30
10818,M,102,58
10818,M,103,50
49309,M,103,1
49309,M,104,7
49309,M,105,8
49309,M,106,6
49309,M,107,6
49309,M,108,4
49309,M,109,32
49309,M,110,91
49309,M,111,198
29389,M,112,139
29389,M,110,53
29389,M,111,107
49702,F,105,33
49702,F,106,14
49702,F,107,78
49702,F,108,39
49702,F,109,84
49702,F,110,48
49702,F,111,202
49702,F,112,73
15408,M,112,26
15408,M,110,7
15408,M,111,24
14500,M,104,90
14500,M,105,103
14500,M,106,107
14500,M,102,59
14500,M,103,171
41107,M,112,31
29142,M,105,5
29142,M,106,18
29142,M,107,17
29142,M,108,76
29142,M,109,69
29142,M,110,96
29142,M,111,95
29142,M,112,60
29305,F,106,13
29305,F,107,31
29305,F,108,44
29305,F,109,21
29305,F,110,11
29305,F,111,374
29373,M,112,111
29373,M,109,292
29373,M,110,106
29373,M,111,191
14300,M,104,17
14300,M,105,25
14300,M,102,26
14300,M,103,38
14909,M,102,24
14509,M,102,4
14509,M,103,2
14712,M,102,59
14712,M,103,71
14712,M,104,81
14712,M,105,74
14712,M,106,117
14712,M,107,116
14712,M,108,173
14712,M,109,220
14712,M,110,234
14203,M,102,65
14203,M,103,69
14203,M,104,23
14203,M,105,16
14203,M,106,47
14203,M,107,162
14203,M,108,102
14203,M,109,102
14203,M,110,171
14203,M,111,663
14203,M,112,133
14503,M,102,183
14503,M,103,160
14503,M,104,180
14503,M,105,300
14503,M,106,265
14503,M,107,201
14503,M,108,166
14503,M,109,104
14503,M,110,79
14503,M,111,266
14503,M,112,178
14708,F,104,168
14708,F,102,57
14708,F,103,80
14809,M,102,3
14809,M,103,17
14809,M,104,43
14809,M,105,29
14809,M,106,64
14809,M,107,49
14809,M,108,40
14809,M,109,37
14809,M,110,211
14902,,102,50
14852,M,105,16
14852,M,106,15
14852,M,107,36
14852,M,108,113
14852,M,109,118
14852,M,110,22
14852,M,111,39
14852,M,112,24
15704,M,102,27
15704,M,103,35
15704,M,104,10
15704,M,105,13
15704,M,106,28
15704,M,107,28
15704,M,108,15
15704,M,109,34
15704,M,110,71
15704,M,111,49
15704,M,112,71
14440,F,102,46
14440,F,103,37
14440,F,104,41
14440,F,105,27
14440,F,106,25
14440,F,107,31
14440,F,108,27
14440,F,109,25
14440,F,110,27
14440,F,111,82
14440,F,112,36
29537,M,107,21
29537,M,108,22
29537,M,109,34
29537,M,110,55
29537,M,111,157
29537,M,112,90
14242,M,102,20
14247,M,103,6
14275,M,104,169
14275,M,102,203
14275,M,103,159
14700,M,102,143
14700,M,103,174
49901,M,106,41
49901,M,107,45
49901,M,108,59
49901,M,109,79
49901,M,110,140
49901,M,111,200
40103,M,107,36
40103,M,108,38
40103,M,109,93
40103,M,110,46
40103,M,111,377
40103,M,112,83
15039,M,102,115
15039,M,103,100
15039,M,104,228
15039,M,105,431
15039,M,106,1931
15039,M,107,702
15039,M,108,790
15039,M,109,877
15039,M,110,7686
15039,M,111,1570
15039,M,112,1852
49703,F,105,67
49703,F,106,75
49703,F,107,90
49703,F,108,150
49703,F,109,175
